WP_126320623.1#4|Listeria_grayi	306	-	+	0	-1988	-1683	2455823	2456128	WP_036105657.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	414	-	+	0	-1620	-1207	2455347	2455760	WP_052009158.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	651	-	+	0	-1202	-552	2454692	2455342	WP_003758906.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	237	-	+	0	-534	-298	2454438	2454674	WP_036105802.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	1551	-	+	21	1	1551	2452589	2454139	WP_126320623.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	705	-	-	0	1597	2301	2451839	2452543	WP_036105662.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	849	-	-	3	2303	3151	2450989	2451837	WP_003758914.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	918	-	-	0	3248	4165	2449975	2450892	WP_036105808.1#4	NZ_LR134483.1	GCF_900638015.1
WP_126320623.1#4|Listeria_grayi	702	-	+	0	4498	5199	2448941	2449642	WP_126320622.1#4	NZ_LR134483.1	GCF_900638015.1



WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	822	-	+	9	-3510	-2689	352595	353416	WP_036072121.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	348	-	+	0	-2630	-2283	352189	352536	WP_052008487.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	1462	-	+	23	-2151	-690	350596	352057	pseudogene_1.1*#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	105	-	-	0	-531	-427	350333	350437	WP_149023319.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	1596	-	+	21	1	1596	348310	349905	WP_036072120.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	1077	-	+	4	1770	2846	347060	348136	WP_036072119.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	840	-	+	2	2863	3702	346204	347043	WP_036072118.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	921	-	+	1	3798	4718	345188	346108	WP_036072116.1#1	NZ_AOCG01000006.1	GCF_000525795.1
WP_036072120.1#1|Listeria_aquatica_FSL_S10_1188	724	-	+	23	4819	5542	344364	345087	pseudogene_1.3*#1	NZ_AOCG01000006.1	GCF_000525795.1



WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	153	+	+	17	-2777	-2625	52542	52694	WP_156110577.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	651	+	+	15	-2592	-1942	52727	53377	WP_036130412.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	528	+	+	10	-1849	-1322	53470	53997	WP_081964407.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	816	+	+	9	-1110	-295	54209	55024	WP_036088759.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	1566	+	+	21	1	1566	55320	56885	WP_036088761.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	1182	+	+	16	1669	2850	56988	58169	WP_077947532.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	702	+	+	14	3085	3786	58404	59105	WP_036088765.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	543	+	+	13	3875	4417	59194	59736	WP_036130421.1#226	NZ_JNEZ01000007.1	GCF_000766055.1
WP_036088761.1#226|Listeriaceae_bacterium_FSL_A5_0209	873	+	+	20	4554	5426	59873	60745	WP_036130425.1#226	NZ_JNEZ01000007.1	GCF_000766055.1



WP_059141029.1#220|Listeria_newyorkensis	153	-	+	17	-2777	-2625	21107	21259	WP_156110577.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	651	-	+	15	-2592	-1942	20424	21074	WP_059141030.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	510	-	+	10	-1831	-1322	19804	20313	WP_036088757.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	816	-	+	9	-1110	-295	18777	19592	WP_036088759.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	1566	-	+	21	1	1566	16916	18481	WP_059141029.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	1215	-	+	16	1636	2850	15632	16846	WP_036130418.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	702	-	+	14	3084	3785	14697	15398	WP_059141028.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	543	-	+	13	3874	4416	14066	14608	WP_059141027.1#220	NZ_KQ130562.1	GCF_001050305.1
WP_059141029.1#220|Listeria_newyorkensis	873	-	+	20	4553	5425	13057	13929	WP_036130425.1#220	NZ_KQ130562.1	GCF_001050305.1



WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	564	+	+	0	-3624	-3061	1162	1725	WP_036102359.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	651	+	+	15	-2515	-1865	2271	2921	WP_036102365.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	507	+	+	10	-1760	-1254	3026	3532	WP_036102367.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	831	+	+	9	-1111	-281	3675	4505	WP_036102370.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	1572	+	+	21	1	1572	4787	6358	WP_036102374.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	1215	+	+	16	1652	2866	6438	7652	WP_036102377.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	702	+	+	14	3359	4060	8145	8846	WP_036102380.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	426	+	-	19	4134	4559	8920	9345	WP_036102383.1#221	NZ_AODL01000041.1	GCF_000525995.1
WP_036102374.1#221|Listeria_riparia_FSL_S10_1204	543	+	+	13	4653	5195	9439	9981	WP_036102386.1#221	NZ_AODL01000041.1	GCF_000525995.1



WP_036086448.1#2|Listeria_booriae	159	+	+	17	-2703	-2545	120926	121084	WP_159106425.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	651	+	+	15	-2517	-1867	121112	121762	WP_077916836.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	507	+	+	10	-1763	-1257	121866	122372	WP_036086443.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	813	+	+	9	-1096	-284	122533	123345	WP_036086445.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	1572	+	+	21	1	1572	123630	125201	WP_036086448.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	1215	+	+	16	1652	2866	125281	126495	WP_036086450.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	702	+	+	14	3361	4062	126990	127691	WP_036086452.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	414	+	-	19	4159	4572	127788	128201	WP_036086454.1#2	NZ_JNFA01000024.1	GCF_000766865.1
WP_036086448.1#2|Listeria_booriae	543	+	+	13	4666	5208	128295	128837	WP_036086455.1#2	NZ_JNFA01000024.1	GCF_000766865.1



WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	1104	+	+	11	-4700	-3597	992358	993461	WP_003746507.1#222	NZ_CM001051.1	GCF_000183945.1
WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	504	+	+	10	-3516	-3013	993542	994045	WP_003746509.1#222	NZ_CM001051.1	GCF_000183945.1
WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	813	+	+	9	-2908	-2096	994150	994962	WP_003746511.1#222	NZ_CM001051.1	GCF_000183945.1
WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	1467	+	+	12	-1774	-308	995284	996750	WP_003746513.1#222	NZ_CM001051.1	GCF_000183945.1
WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	1572	+	+	21	1	1572	997059	998630	WP_003746514.1#222	NZ_CM001051.1	GCF_000183945.1
WP_003746514.1#222|Listeria_seeligeri_FSL_N1_067	1029	+	+	4	1811	2839	998869	999897	WP_003746516.1#222	NZ_CM001051.1	GCF_000183945.1
